facility_name,licensee,facility_address,facility_city,facility_zip,county_name,facility_capacity,facility_status,license_first_date,closed_date,months_operated,facility_telephone_number,risk_score,google_maps_url
ACACIA TREE PRE SCHOOL,"CHUNG, SUN P.",1701 EAST CHAPMAN AVENUE,FULLERTON,92831,ORANGE,70,CLOSED,11/26/2019,2/1/2021,14.4,(714) 526-7855,5,https://www.google.com/maps/search/1701%20EAST%20CHAPMAN%20AVENUE%2C%20FULLERTON%2C%20CA
ACADEMY OF CHILD DEVELOPMENT & AMORE,ACADEMY OF CHILD DEVELOPMENT & AMORE LLC,170 EAST FRENCH CAMP ROAD,FRENCH CAMP,95231,SAN JOAQUIN,40,LICENSED,5/12/2021,,,(209) 898-2958,5,https://www.google.com/maps/search/170%20EAST%20FRENCH%20CAMP%20ROAD%2C%20FRENCH%20CAMP%2C%20CA
ACORN LEARNING CENTER,"ACORN LEARNING CENTER, INC.",816 DIABLO ROAD,DANVILLE,94526,CONTRA COSTA,42,CLOSED,2/9/1987,2/5/2024,450.3,(925) 837-1145,5,https://www.google.com/maps/search/816%20DIABLO%20ROAD%2C%20DANVILLE%2C%20CA
ACORN LEARNING CENTER OF SAN RAMON,"ACORN LEARNING CENTER OF SAN RAMON, INC.",5075 CROW CANYON ROAD,SAN RAMON,94583,CONTRA COSTA,151,CLOSED,12/28/1990,8/13/2024,409.4,(925) 735-7900,5,https://www.google.com/maps/search/5075%20CROW%20CANYON%20ROAD%2C%20SAN%20RAMON%2C%20CA
ADVENTURE MONTESSORI S.T.E.A.M ACADEMY LLC,ADVENTURE MONTESSORI S.T.E.A.M ACADEMY LLC,3541 N FREEWAY BLVD SUITE 100,SACRAMENTO,95834,SACRAMENTO,35,ON PROBATION,8/4/2022,,,(916) 370-6113,5,https://www.google.com/maps/search/3541%20N%20FREEWAY%20BLVD%20SUITE%20100%2C%20SACRAMENTO%2C%20CA
ALL SAINTS EPISCOPAL PRESCHOOL,"RECTOR, WARDNES AND VESTRYMEN OF ALL SAINTS', THE",3660 7TH AVE,SAN DIEGO,92103,SAN DIEGO,37,CLOSED,11/14/2023,12/31/2024,13.8,(619) 298-0313,5,https://www.google.com/maps/search/3660%207TH%20AVE%2C%20SAN%20DIEGO%2C%20CA
ANGELS IN ACTION LEARNING CENTER,"ANGELS IN ACTION LEARNING CENTER, INC.",4500 TUTTLE ROAD,ROCKLIN,95677,PLACER,53,CLOSED,10/3/2005,8/28/2020,181.4,(916) 632-1622,5,https://www.google.com/maps/search/4500%20TUTTLE%20ROAD%2C%20ROCKLIN%2C%20CA
BRIGHT HORIZONS @ SECOND STREET - PRESCHOOL,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC","303 SECOND STREET,2ND FL. #25O",SAN FRANCISCO,94107,SAN FRANCISCO,79,CLOSED,6/30/2008,6/1/2024,193.8,(415) 495-2500,5,https://www.google.com/maps/search/303%20SECOND%20STREET%2C2ND%20FL.%20%2325O%2C%20SAN%20FRANCISCO%2C%20CA
AUTUMN CREEK LEARNING CENTER,AUTUMN CREEK LEARNING CENTER,14 OSBORN WAY,DANVILLE,94526,CONTRA COSTA,80,CLOSED,9/1/1999,9/25/2020,256.5,(925) 743-4187,5,https://www.google.com/maps/search/14%20OSBORN%20WAY%2C%20DANVILLE%2C%20CA
B L HARVEY SCHOOL,B L HARVEY SCHOOL,11203 WESTERN AVENUE,LOS ANGELES,90047,LOS ANGELES,30,CLOSED,7/24/2019,5/26/2021,22.4,(323) 515-2995,5,https://www.google.com/maps/search/11203%20WESTERN%20AVENUE%2C%20LOS%20ANGELES%2C%20CA
BARRY TED MOSKOWITZ CHILD CARE CENTER,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC.","880 FRONT STREET, SUITE 1295",SAN DIEGO,92101,SAN DIEGO,58,CLOSED,7/3/2018,9/15/2020,26.8,(619) 557-3431,5,https://www.google.com/maps/search/880%20FRONT%20STREET%2C%20SUITE%201295%2C%20SAN%20DIEGO%2C%20CA
BRIDGES CHILD DEVELOPMENT CENTER,BRIDGES CHILD DEVELOPMENT CENTER INC,500 N. STATE STREET,HEMET,92543,RIVERSIDE,30,CLOSED,10/20/2009,4/30/2023,164.7,(951) 658-3354,5,https://www.google.com/maps/search/500%20N.%20STATE%20STREET%2C%20HEMET%2C%20CA
BRIGHT FUTURES PRESCHOOL,BRIGHT FUTURES PRESCHOOL LLC,608 KENTUCKY,BAKERSFIELD,93305,KERN,32,CLOSED,2/27/2013,8/31/2022,115.7,(661) 631-5555,5,https://www.google.com/maps/search/608%20KENTUCKY%2C%20BAKERSFIELD%2C%20CA
BRIGHT HORIZONS AT UNIVERSITY PARK USC,BRIGHT HORIZONS CHILDREN'S CENTERS LLC,2715 UNIVERSITY AVE.,LOS ANGELES,90007,LOS ANGELES,129,CLOSED,,9/30/2021,,(213) 821-9571,5,https://www.google.com/maps/search/2715%20UNIVERSITY%20AVE.%2C%20LOS%20ANGELES%2C%20CA
BRIGHT HORIZONS LOS ANGELES HOPE STREET,BRIGHT HORIZONS CHILDREN'S CENTER LLC,550 SOUTH HOPE STREET,LOS ANGELES,90071,LOS ANGELES,12,CLOSED,6/2/2006,11/12/2024,224.6,(213) 623-0072,5,https://www.google.com/maps/search/550%20SOUTH%20HOPE%20STREET%2C%20LOS%20ANGELES%2C%20CA
GIVINGTREE MONTESSORI,H&S GLOBAL EDUCATION GROUP INC.,1911 NORTH EUCLID STREET,FULLERTON,92835,ORANGE,41,LICENSED,8/12/2022,,,(714) 336-2872,5,https://www.google.com/maps/search/1911%20NORTH%20EUCLID%20STREET%2C%20FULLERTON%2C%20CA
"GODDARD SCHOOL, THE","EMERIN LEARNING CENTER, LLC",10710 BEAR HOLLOW DRIVE,RANCHO CORDOVA,95670,SACRAMENTO,108,CLOSED,5/30/2008,5/15/2023,182.1,(916) 861-0906,5,https://www.google.com/maps/search/10710%20BEAR%20HOLLOW%20DRIVE%2C%20RANCHO%20CORDOVA%2C%20CA
GRACIE'S PLACE PRESCHOOL,"GRACIE'S PLACE, LLC",1998 RANCHO PARK LOOP,SAN RAMON,94582,CONTRA COSTA,13,CLOSED,1/30/2023,8/9/2023,6.4,(925) 302-9092,5,https://www.google.com/maps/search/1998%20RANCHO%20PARK%20LOOP%2C%20SAN%20RAMON%2C%20CA
MILESTONES PRE-K LEARNING CENTER,"EMMERLING, KIM L.",7177 POTOMAC STREET,RIVERSIDE,92504,RIVERSIDE,30,CLOSED,2/6/2019,6/9/2020,16.3,(951) 289-6465,5,https://www.google.com/maps/search/7177%20POTOMAC%20STREET%2C%20RIVERSIDE%2C%20CA
LEPORT CARLSBAD VILLAGE,"STRATFORD SCHOOL, INC.",3016 HIGHLAND DRIVE,CARLSBAD,92008,SAN DIEGO,18,CLOSED,11/27/2018,6/10/2020,18.7,(760) 434-6440,5,https://www.google.com/maps/search/3016%20HIGHLAND%20DRIVE%2C%20CARLSBAD%2C%20CA
LIFECONNECTIONS CHILDREN'S LEARNING CENTER,BRIGHT HORIZONS CHILDREN'S CENTER LLC,800 BARBER LANE,MILPITAS,95035,SANTA CLARA,388,CLOSED,9/13/2000,6/2/2023,276.6,(408) 853-2196,5,https://www.google.com/maps/search/800%20BARBER%20LANE%2C%20MILPITAS%2C%20CA
LITTLE GEMS (PS),"LITTLE GEMS OF THE SIERRA PRESCHOOL, INC.",11605 DEERFIELD DR,TRUCKEE,96161,NEVADA,28,CLOSED,9/16/2019,6/2/2020,8.7,(530) 582-4045,5,https://www.google.com/maps/search/11605%20DEERFIELD%20DR%2C%20TRUCKEE%2C%20CA
LITTLE ONES CHILDREN'S CENTER,LITTLE ONES ACADEMY,7789 HEALDSBURG AVENUE,SEBASTOPOL,95472,SONOMA,90,LICENSED,3/5/2021,,,(707) 578-8363,5,https://www.google.com/maps/search/7789%20HEALDSBURG%20AVENUE%2C%20SEBASTOPOL%2C%20CA
"LITTLE SCHOLARS PRESCHOOL, LLC","LITTLE SCHOLARS PRESCHOOL, LLC",5022 S WESTERN AVENUE,LOS ANGELES,90062,LOS ANGELES,36,CLOSED,3/6/2023,2/26/2024,11.9,(213) 718-6114,5,https://www.google.com/maps/search/5022%20S%20WESTERN%20AVENUE%2C%20LOS%20ANGELES%2C%20CA
LMNO PRESCHOOL,"LMNO PRESCHOOL, LLC",100 MARIPOSA AVE,SAN ANSELMO,94960,MARIN,30,CLOSED,7/30/2019,4/5/2021,20.5,(415) 726-1727,5,https://www.google.com/maps/search/100%20MARIPOSA%20AVE%2C%20SAN%20ANSELMO%2C%20CA
LU SUTTON PREKINDERGARTEN/EARLY LEARNING PROGRAM,YMCA OF SAN FRANCISCO MARIN BRANCH,1800 CENTER ROAD,NOVATO,94947,MARIN,24,CLOSED,7/3/2018,6/1/2020,23.3,(415) 446-2140,5,https://www.google.com/maps/search/1800%20CENTER%20ROAD%2C%20NOVATO%2C%20CA
MOTHER LODE MOUNTAIN TOTS PRESCHOOL,MOTHER LODE MOUNTAIN TOTS PRESCHOOL LLC,23714 STATE HIGHWAY 88,PIONEER,95666,AMADOR,45,CLOSED,9/25/2023,1/31/2024,4.3,(209) 457-0995,5,https://www.google.com/maps/search/23714%20STATE%20HIGHWAY%2088%2C%20PIONEER%2C%20CA
"LEARNING CENTER FOR KIDS, THE","LEARNING CENTER 4 KIDS, INC., THE",6221 LINCOLN AVE.,BUENA PARK,90620,ORANGE,50,CLOSED,7/31/2017,12/22/2020,41.3,(714) 821-7800,5,https://www.google.com/maps/search/6221%20LINCOLN%20AVE.%2C%20BUENA%20PARK%2C%20CA
MOUNT VALLEY MONTESSORI INC.,MOUNT VALLEY MONTESSORI INC.,1481 MOWRY AVENUE,FREMONT,94538,ALAMEDA,120,CLOSED,3/1/2023,10/13/2023,7.5,(510) 491-7006,5,https://www.google.com/maps/search/1481%20MOWRY%20AVENUE%2C%20FREMONT%2C%20CA
MOUNTAIN VALLEY PRESCHOOL,WILWILLI FAMILY LLC,1832 ALPINE BOULEVARD,ALPINE,91901,SAN DIEGO,15,CLOSED,8/5/2019,2/11/2021,18.5,(619) 213-9547,5,https://www.google.com/maps/search/1832%20ALPINE%20BOULEVARD%2C%20ALPINE%2C%20CA
NOAH'S ARK CHILDREN'S LEARNING CENTER,AUGUSTA ACADEMY LLC,560 HARRISON AVENUE,CAMPBELL,95008,SANTA CLARA,21,LICENSED,11/19/2021,,,(408) 691-3808,5,https://www.google.com/maps/search/560%20HARRISON%20AVENUE%2C%20CAMPBELL%2C%20CA
PLAY AND THRIVE ACADEMY,PLAY & THRIVE ACADEMY LLC,7737 MEANY AVE STE A1,BAKERSFIELD,93308,KERN,26,LICENSED,11/10/2021,,,(661) 578-4756,5,https://www.google.com/maps/search/7737%20MEANY%20AVE%20STE%20A1%2C%20BAKERSFIELD%2C%20CA
PLAY TOWNE,"PADILLA, TIFFANY",1111 EL CAMINO REAL,MILLBRAE,94030,SAN MATEO,30,CLOSED,10/10/2023,12/18/2024,14.5,(650) 800-3996,5,https://www.google.com/maps/search/1111%20EL%20CAMINO%20REAL%2C%20MILLBRAE%2C%20CA
RENU HOPE FOUNDATION,RENU HOPE FOUNDATION,22733 OAKCREST CIRCLE,YORBA LINDA,92887,ORANGE,48,CLOSED,5/23/2019,6/30/2020,13.5,(951) 378-3816,5,https://www.google.com/maps/search/22733%20OAKCREST%20CIRCLE%2C%20YORBA%20LINDA%2C%20CA
RISING STARS PRESCHOOL AND KINDERGARTEN,"DERKRIKORIAN, ANDREW",11120 ORO VISTA AVE,SUNLAND,91040,LOS ANGELES,48,CLOSED,9/19/2018,6/18/2020,21.3,(818) 951-2338,5,https://www.google.com/maps/search/11120%20ORO%20VISTA%20AVE%2C%20SUNLAND%2C%20CA
"LEARNING EXPERIENCE- P/S, THE",SAANVI & NAVNEET LLC,6150 COMMERCE BLVD.,ROHNERT PARK,94928,SONOMA,104,CLOSED,10/23/2018,10/5/2020,23.8,(732) 306-7458,5,https://www.google.com/maps/search/6150%20COMMERCE%20BLVD.%2C%20ROHNERT%20PARK%2C%20CA
"LEARN & PLAY MONTESSORI MILPITAS, INC.","LEARN AND PLAY MONTESSORI MILPITAS, INC.",164 NORTH ABEL STREET,MILPITAS,95035,SANTA CLARA,200,CLOSED,9/20/2023,1/2/2025,15.7,(408) 809-0096,5,https://www.google.com/maps/search/164%20NORTH%20ABEL%20STREET%2C%20MILPITAS%2C%20CA
GRAND CENTRAL PRESCHOOL,DARRELL MASTON,23780 NEWHALL AVENUE,SANTA CLARITA,91321,LOS ANGELES,77,CLOSED,8/31/2023,7/25/2024,11.0,(661) 625-0293,5,https://www.google.com/maps/search/23780%20NEWHALL%20AVENUE%2C%20SANTA%20CLARITA%2C%20CA
KIDDIE ACADEMY OF RANCHO CUCAMONGA,"DBH LEARNING CENTER, INC",7220 VICTORIA PARK LANE,RANCHO CUCAMONGA,91739,SAN BERNARDINO,127,LICENSED,4/25/2022,,,(909) 891-8700,5,https://www.google.com/maps/search/7220%20VICTORIA%20PARK%20LANE%2C%20RANCHO%20CUCAMONGA%2C%20CA
"GREAT ADVENTURES LEARNING CENTER, INC.","GREAT ADVENTURES LEARNING CENTER, INC.",7945 ALDRICH DR.,HUNTINGTON BEACH,92647,ORANGE,44,CLOSED,3/30/2016,10/13/2023,91.8,(714) 847-0844,5,https://www.google.com/maps/search/7945%20ALDRICH%20DR.%2C%20HUNTINGTON%20BEACH%2C%20CA
GREATER LIFE CHRISTIAN ACADEMY,GRATER LIFE BAPTIST CHURCH,"1012 DERBY STREET, BUILDING 4",SAN DIEGO,92114,SAN DIEGO,27,CLOSED,12/17/2019,5/27/2020,5.4,(619) 263-8101,5,https://www.google.com/maps/search/1012%20DERBY%20STREET%2C%20BUILDING%204%2C%20SAN%20DIEGO%2C%20CA
GUIDEPOST MONTESSORI AT FORT MASON,GUIDEPOST A LLC,3741 BUCHANAN STREET,SAN FRANCISCO,94123,SAN FRANCISCO,18,CLOSED,4/10/2023,10/29/2024,18.9,(415) 429-2008,5,https://www.google.com/maps/search/3741%20BUCHANAN%20STREET%2C%20SAN%20FRANCISCO%2C%20CA
HAPPY CAMPERS LEARNING CENTER,HAPPYCAMPERS LEARNING CENTER,14035 FRANCISQUITO,BALDWIN PARK,91706,LOS ANGELES,84,CLOSED,7/5/1995,8/17/2021,318.0,(626) 337-7254,5,https://www.google.com/maps/search/14035%20FRANCISQUITO%2C%20BALDWIN%20PARK%2C%20CA
IHSD @ SAN MATEO,"INSTITUTE FOR HUMAN & SOCIAL DEVELOPMENT, INC., TH",1685 EISENHOWER STREET,SAN MATEO,94403,SAN MATEO,20,CLOSED,8/19/2019,8/11/2020,11.9,(650) 343-7908,5,https://www.google.com/maps/search/1685%20EISENHOWER%20STREET%2C%20SAN%20MATEO%2C%20CA
JOY'S CHILDREN'S LEARNING CENTER / LA PUENTE,JOY'S CHILDREN'S LEARNING CENTER INC./ LA PUENTE,515 N AZUSA AVE,LA PUENTE,91744,LOS ANGELES,14,CLOSED,,5/10/2024,,(626) 675-8223,5,https://www.google.com/maps/search/515%20N%20AZUSA%20AVE%2C%20LA%20PUENTE%2C%20CA
KIDDIE ACADEMY OF FONTANA,"BDH LEARNING CENTER, INC",11117 SIERRA AVE,FONTANA,92337,SAN BERNARDINO,120,LICENSED,4/25/2022,,,(909) 822-7700,5,https://www.google.com/maps/search/11117%20SIERRA%20AVE%2C%20FONTANA%2C%20CA
KIDS BY THE BAY - PRESCHOOL,"CHILDREN'S CREATIVE LEARNING CENTERS, LLC",90 SEVENTH STREET,SAN FRANCISCO,94103,SAN FRANCISCO,78,CLOSED,10/23/2007,5/15/2021,165.1,(415) 554-8100,5,https://www.google.com/maps/search/90%20SEVENTH%20STREET%2C%20SAN%20FRANCISCO%2C%20CA
"LEARN & PLAY MONTESSORI DUBLIN, INC.","LEARN & PLAY MONTESSORI DUBLIN, INC.",3960 SUMMIT ROAD,DUBLIN,94568,ALAMEDA,164,CLOSED,8/9/2023,1/2/2024,4.9,(925) 951-5123,5,https://www.google.com/maps/search/3960%20SUMMIT%20ROAD%2C%20DUBLIN%2C%20CA
"KIDS COLLABORATE EARLY LEARNING CENTER, INC.","KIDS COLLABORATE EARLY LEARNING CENTER, INC.",36555 VAN GAALE LANE,WINCHESTER,92596,RIVERSIDE,144,CLOSED,3/13/2007,2/2/2023,193.5,(951) 926-1600,5,https://www.google.com/maps/search/36555%20VAN%20GAALE%20LANE%2C%20WINCHESTER%2C%20CA
KINDERCARE LEARNING CENTER,"KINDERCARE LEARNING CENTERS, LLC",455 E. FOOTHILL BOULEVARD,SAN DIMAS,91773,LOS ANGELES,96,CLOSED,5/23/1997,8/11/2024,331.4,(909) 599-0597,5,https://www.google.com/maps/search/455%20E.%20FOOTHILL%20BOULEVARD%2C%20SAN%20DIMAS%2C%20CA
LAND PARK INFANT CENTER AND PRESCHOOL,ADVENTURE MONTESSORI S.T.E.A.M ACADEMY LLC,5250 RIVERSIDE BLVD,SACRAMENTO,95822,SACRAMENTO,38,ON PROBATION,4/26/2022,,,(916) 446-4567,5,https://www.google.com/maps/search/5250%20RIVERSIDE%20BLVD%2C%20SACRAMENTO%2C%20CA
LE PORT LOMITA PRESCHOOL,STRATFORD SCHOOL (BARBARA GRAVES),2342 PACIFIC COAST HWY,LOMITA,90717,LOS ANGELES,90,CLOSED,5/20/2019,2/18/2021,21.3,(310) 530-5533,5,https://www.google.com/maps/search/2342%20PACIFIC%20COAST%20HWY%2C%20LOMITA%2C%20CA
LEAP AND BOUND ACADEMY,"LEAP AND BOUND CHILD DEVELOPMENT CENTER,LLC",22410 PALOS VERDES BLVD,TORRANCE,90505,LOS ANGELES,120,CLOSED,2/3/2004,9/16/2022,226.7,(310) 543-7650,5,https://www.google.com/maps/search/22410%20PALOS%20VERDES%20BLVD%2C%20TORRANCE%2C%20CA
"LEARN AND PLAY MONTESSORI CENTERVILLE, INC.","LEARN AND PLAY MONTESSORI CENTERVILLE, INC.",2550 PERALTA BOULEVARD,FREMONT,94536,ALAMEDA,260,CLOSED,1/24/2023,1/2/2025,23.6,(510) 870-4678,5,https://www.google.com/maps/search/2550%20PERALTA%20BOULEVARD%2C%20FREMONT%2C%20CA
"LEARN AND PLAY MONTESSORI SUNNYVALE, INC.","LEARN & PLAY MONTESSORI SV, INC DBA L & P M SCHOOL",1055 SUNNYVALE-SARATOGA ROAD,SUNNYVALE,94087,SANTA CLARA,231,CLOSED,12/28/2023,1/2/2025,12.4,(408) 735-8333,5,https://www.google.com/maps/search/1055%20SUNNYVALE-SARATOGA%20ROAD%2C%20SUNNYVALE%2C%20CA
BRIDGES CHILD DEVELOPMENT CENTER,BRIDGES CHILD DEVELOPMENT CENTER INC,500 N. STATE STREET,HEMET,92543,RIVERSIDE,24,CLOSED,10/20/2009,4/30/2023,164.7,(951) 658-3354,5,https://www.google.com/maps/search/500%20N.%20STATE%20STREET%2C%20HEMET%2C%20CA
BRIGHT HORIZONS @ SECOND STREET - SCHOOL AGE,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC","303 2ND STREET, 2ND FLR. #250",SAN FRANCISCO,94107,SAN FRANCISCO,12,CLOSED,3/21/2012,6/1/2024,148.5,(415) 495-2500,5,https://www.google.com/maps/search/303%202ND%20STREET%2C%202ND%20FLR.%20%23250%2C%20SAN%20FRANCISCO%2C%20CA
"JONES, ANTONIO",ANTONIO JONES,Unavailable,SACRAMENTO,95829,SACRAMENTO,14,CLOSED,5/30/2023,4/25/2024,11.0,(916) 919-4370,5,https://www.google.com/maps/search/Unavailable%2C%20SACRAMENTO%2C%20CA
"DOBOUE, MARIE","DOBOUE, MARIE",Unavailable,CONCORD,94518,CONTRA COSTA,14,CLOSED,1/23/2023,8/21/2024,19.2,(510) 228-2614,5,https://www.google.com/maps/search/Unavailable%2C%20CONCORD%2C%20CA
"CHURCHWELL, MARY","CHURCHWELL, MARY",Unavailable,APPLEGATE,95703,PLACER,14,CLOSED,9/26/2018,5/31/2020,20.4,(530) 878-3968,5,https://www.google.com/maps/search/Unavailable%2C%20APPLEGATE%2C%20CA
"CLEMENT, HOLLY","CLEMENT,HOLLY",Unavailable,FAIR OAKS,95628,SACRAMENTO,14,CLOSED,4/3/2019,8/14/2020,16.6,(619) 929-5557,5,https://www.google.com/maps/search/Unavailable%2C%20FAIR%20OAKS%2C%20CA
COHEN FAMILY CHILD CARE,REFITAL COHEN,Unavailable,RESEDA,91335,LOS ANGELES,14,CLOSED,1/28/2019,7/2/2020,17.4,(818) 629-4555,5,https://www.google.com/maps/search/Unavailable%2C%20RESEDA%2C%20CA
"CONRAD, TIFANY FAMILY CHILD CARE HOME","CONRAD, TIFANY",Unavailable,REDDING,96002,SHASTA,14,CLOSED,6/4/2019,6/22/2020,12.8,(530) 604-9767,5,https://www.google.com/maps/search/Unavailable%2C%20REDDING%2C%20CA
"CONTRERAS, MARIA","CONTRERAS, MARIA",Unavailable,SOLEDAD,93960,MONTEREY,14,CLOSED,5/23/2023,4/7/2025,22.8,(831) 775-9052,5,https://www.google.com/maps/search/Unavailable%2C%20SOLEDAD%2C%20CA
"COPE, HILARY","COPE, HILARY",Unavailable,MARINA,93933,MONTEREY,14,CLOSED,7/10/2019,2/19/2021,19.7,(831) 521-7587,5,https://www.google.com/maps/search/Unavailable%2C%20MARINA%2C%20CA
"CORONA HEREDIA, OSCAR","CORONA HEREDIA, OSCAR",Unavailable,MENLO PARK,94025,SAN MATEO,14,CLOSED,12/10/2019,10/27/2021,22.9,(650) 630-9010,5,https://www.google.com/maps/search/Unavailable%2C%20MENLO%20PARK%2C%20CA
"CORREA, BERENICE FAMILY CHILD CARE","CORREA, BERENICE",Unavailable,MODESTO,95350,STANISLAUS,14,CLOSED,3/29/2024,5/8/2025,13.5,(209) 497-7016,5,https://www.google.com/maps/search/Unavailable%2C%20MODESTO%2C%20CA
"CULLUP, AUDRA","CULLUP, AUDRA",Unavailable,BRENTWOOD,94513,CONTRA COSTA,14,CLOSED,12/2/2019,5/26/2021,18.0,(925) 457-1626,5,https://www.google.com/maps/search/Unavailable%2C%20BRENTWOOD%2C%20CA
"DANCEL, JADE FCCH","DANCEL, JADE",Unavailable,FAIRFIELD,94534,SOLANO,14,CLOSED,3/14/2019,3/1/2021,23.9,(707) 720-4421,5,https://www.google.com/maps/search/Unavailable%2C%20FAIRFIELD%2C%20CA
DAVIS FAMILY CHILD CARE,"DAVIS, TIKECIA & DAVIS, COREY",Unavailable,CORONA,92883,RIVERSIDE,14,CLOSED,11/2/2018,8/21/2020,21.9,(562) 533-2617,5,https://www.google.com/maps/search/Unavailable%2C%20CORONA%2C%20CA
"DAVIS, KYLIE & ANDREW FAMILY CHILD CARE","DAVIS, KYLIE & ANDREW",Unavailable,SAN DIEGO,92105,SAN DIEGO,14,CLOSED,8/28/2018,6/17/2020,22.0,(817) 629-7787,5,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
DE SILVA FAMILY CHILD CARE,"DE SILVA, JUANITA",Unavailable,CORONA,92879,RIVERSIDE,14,CLOSED,5/31/2023,10/6/2023,4.3,(714) 204-1339,5,https://www.google.com/maps/search/Unavailable%2C%20CORONA%2C%20CA
"DEBORA, NIYONZIMA FAMILY CHILD CARE","DEBORA, NIYONZIMA",Unavailable,SAN DIEGO,92105,SAN DIEGO,14,CLOSED,9/24/2019,7/20/2021,22.2,(619) 389-0626,5,https://www.google.com/maps/search/Unavailable%2C%20SAN%20DIEGO%2C%20CA
DELANEY FAMILY CHILD CARE,YVONNE DELANEY,Unavailable,LANCASTER,93534,LOS ANGELES,14,CLOSED,12/20/2023,12/1/2024,11.6,(661) 488-5949,5,https://www.google.com/maps/search/Unavailable%2C%20LANCASTER%2C%20CA
"DHANDAPANI, SARANYADEVI","DHANDAPANI, SARANYADEVI",Unavailable,LATHROP,95330,SAN JOAQUIN,14,CLOSED,5/22/2023,10/29/2024,17.5,(510) 925-5570,5,https://www.google.com/maps/search/Unavailable%2C%20LATHROP%2C%20CA
"DIBLER, KELSEY FAMILY CHILD CARE","DIBLER, KELSEY",Unavailable,CHOWCHILLA,93610,MADERA,14,CLOSED,2/8/2023,6/18/2024,16.5,(559) 223-4274,5,https://www.google.com/maps/search/Unavailable%2C%20CHOWCHILLA%2C%20CA
"CHERRY, STEPHANIE","CHERRY, STEPHANIE",Unavailable,STOCKTON,95212,SAN JOAQUIN,14,CLOSED,12/4/2024,2/26/2025,2.8,(209) 938-7203,5,https://www.google.com/maps/search/Unavailable%2C%20STOCKTON%2C%20CA
"CHEEVES, STACY","CHEEVES, STACY",Unavailable,FOLSOM,95630,SACRAMENTO,14,CLOSED,9/27/2018,8/21/2020,23.1,(916) 805-7711,5,https://www.google.com/maps/search/Unavailable%2C%20FOLSOM%2C%20CA
CHAVEZ FCC AKA LINDA'S CHILD CARE,"CHAVEZ, HERLINDA",Unavailable,SANTA MARIA,93454,SANTA BARBARA,14,CLOSED,1/18/2019,7/27/2020,18.5,(805) 868-6405,5,https://www.google.com/maps/search/Unavailable%2C%20SANTA%20MARIA%2C%20CA
"BOSHRA, REHAM","BOSHRA, REHAM",Unavailable,HUNTINGTON BEACH,92646,ORANGE,14,CLOSED,9/22/2023,1/13/2025,16.0,(714) 365-2100,5,https://www.google.com/maps/search/Unavailable%2C%20HUNTINGTON%20BEACH%2C%20CA
AZIZYAN FAMILY CHILD CARE,"AZIZYAN, MARINE",Unavailable,GLENDALE,91205,LOS ANGELES,14,CLOSED,6/16/2023,9/26/2024,15.6,(818) 974-6493,5,https://www.google.com/maps/search/Unavailable%2C%20GLENDALE%2C%20CA
"BARRON, KELLY FAMILY CHILD CARE HOME","BARRON, KELLY",Unavailable,OROVILLE,95965,BUTTE,14,CLOSED,5/11/2023,8/16/2024,15.4,(916) 606-1487,5,https://www.google.com/maps/search/Unavailable%2C%20OROVILLE%2C%20CA
"BAWAZIR, FATIMA","BAWAZIR, FATIMA",Unavailable,HAYWARD,94544,ALAMEDA,14,CLOSED,2/4/2019,9/30/2020,20.1,(510) 876-3616,5,https://www.google.com/maps/search/Unavailable%2C%20HAYWARD%2C%20CA
"BEARDEN, VIVIAN FAMILY CHILD CARE HOME","BEARDEN, VIVIAN",Unavailable,CRESCENT CITY,95531,DEL NORTE,14,CLOSED,8/29/2018,7/29/2020,23.3,(707) 954-8823,5,https://www.google.com/maps/search/Unavailable%2C%20CRESCENT%20CITY%2C%20CA
BESSENT FAMILY CHILD CARE,"BESSENT,PORTIA",Unavailable,SAN JACINTO,92583,RIVERSIDE,14,CLOSED,10/17/2019,5/4/2021,18.8,(951) 663-9544,5,https://www.google.com/maps/search/Unavailable%2C%20SAN%20JACINTO%2C%20CA
"BINARELLI, ROBERTA",ROBERTA BINARELLI,Unavailable,LOS ALTOS,94024,SANTA CLARA,14,CLOSED,5/31/2023,11/4/2024,17.4,(510) 325-2516,5,https://www.google.com/maps/search/Unavailable%2C%20LOS%20ALTOS%2C%20CA
"BISHOP, BRANDY L.","BISHOP, BRANDY L.",Unavailable,SAN FRANCISCO,94115,SAN FRANCISCO,14,CLOSED,12/12/2019,6/16/2021,18.4,(415) 793-0626,5,https://www.google.com/maps/search/Unavailable%2C%20SAN%20FRANCISCO%2C%20CA
BRYANT FAMILY CHILD CARE,"BRYANT,MARY",Unavailable,PERRIS,92571,RIVERSIDE,14,CLOSED,3/13/2024,2/18/2025,11.4,(424) 703-8886,5,https://www.google.com/maps/search/Unavailable%2C%20PERRIS%2C%20CA
CHASE FAMILY CHILD CARE,BELINDA CHASE,Unavailable,HAWTHORNE,90250,LOS ANGELES,14,CLOSED,6/17/2024,2/10/2025,7.9,(310) 256-8753,5,https://www.google.com/maps/search/Unavailable%2C%20HAWTHORNE%2C%20CA
